Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
46*,38,26,6,1,176.92,4,not out,1,v Sri Lanka,Mirpur,13 Mar 2012
21*,20,11,2,0,190.90,5,not out,1,v Bangladesh,Mirpur,16 Mar 2012
4*,4,1,1,0,400.00,6,not out,2,v Pakistan,Mirpur,18 Mar 2012
35,49,29,3,1,120.68,6,caught,1,v Sri Lanka,Hambantota,21 Jul 2012
11,26,16,2,0,68.75,6,caught,1,v Sri Lanka,Hambantota,24 Jul 2012
31,60,49,1,0,63.26,4,bowled,2,v Sri Lanka,Colombo (RPS),28 Jul 2012
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),31 Jul 2012
58,57,38,8,1,152.63,7,caught,1,v Sri Lanka,Pallekele,4 Aug 2012
113*,177,125,7,3,90.40,7,not out,1,v Pakistan,Chennai,30 Dec 2012
54*,121,89,4,1,60.67,6,not out,2,v Pakistan,Eden Gardens,3 Jan 2013
36,77,55,1,3,65.45,6,caught,1,v Pakistan,Delhi,6 Jan 2013
32,54,25,0,4,128.00,6,caught,2,v England,Rajkot,11 Jan 2013
72,117,66,7,2,109.09,6,caught,1,v England,Kochi,15 Jan 2013
10*,12,12,2,0,83.33,5,not out,2,v England,Ranchi,19 Jan 2013
19,49,21,2,0,90.47,6,caught,2,v England,Mohali,23 Jan 2013
15,38,23,2,0,65.21,6,lbw,1,v England,Dharamsala,27 Jan 2013
27,42,26,3,0,103.84,5,caught,1,v South Africa,Cardiff,6 Jun 2013
DNB,-,-,-,-,-,-,-,2,v West Indies,The Oval,11 Jun 2013
DNB,-,-,-,-,-,-,-,2,v Pakistan,Birmingham,15 Jun 2013
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cardiff,20 Jun 2013
0,3,4,0,0,0.00,6,caught,1,v England,Birmingham,23 Jun 2013
27,66,35,1,0,77.14,6,bowled,1,v West Indies,Kingston,30 Jun 2013
45*,98,52,5,2,86.53,6,not out,2,v Sri Lanka,Port of Spain,11 Jul 2013
19,52,22,2,0,86.36,6,bowled,2,v Australia,Pune,13 Oct 2013
DNB,-,-,-,-,-,-,-,2,v Australia,Jaipur,16 Oct 2013
139*,169,121,12,5,114.87,6,not out,1,v Australia,Mohali,19 Oct 2013
DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi,23 Oct 2013
25*,35,23,2,0,108.69,6,not out,2,v Australia,Nagpur,30 Oct 2013
62,73,38,7,2,163.15,6,run out,1,v Australia,Bengaluru,2 Nov 2013
13*,14,7,3,0,185.71,6,not out,2,v West Indies,Kochi,21 Nov 2013
51*,61,40,3,4,127.50,6,not out,1,v West Indies,Visakhapatnam,24 Nov 2013
23*,48,23,3,0,100.00,6,not out,2,v West Indies,Kanpur,27 Nov 2013
65,125,71,8,1,91.54,6,bowled,2,v South Africa,Johannesburg,5 Dec 2013
19,43,31,0,0,61.29,6,caught,2,v South Africa,Durban,8 Dec 2013
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013
40,72,46,2,2,86.95,6,caught,2,v New Zealand,Napier,19 Jan 2014
56,81,44,7,1,127.27,5,caught,2,v New Zealand,Hamilton,22 Jan 2014
50,79,60,2,3,83.33,6,caught,2,v New Zealand,Auckland,25 Jan 2014
